user_id,epoch,budget
8329,1,407068175665488
216,1,108970964874536
10167,1,104618514288616
12662,1,81895972202959
9501,1,101390790569360
77,1,25441633742369395
12731,1,1278165756175287131
10383,1,113568534063557
8220,1,1045740089637781
6895,1,1045598214186104
12452,1,108657022181206
996,1,117862720013961
475,1,504914090313065
6349,1,1020447859903030
12419,1,911846611448702
7088,1,2571076592353593
13056,1,28568576030497
1097,1,104759300780766
10159,1,104635622280013
2612,1,234125051143903
204,1,115753257175016
12489,1,940491445631305
10354,1,113588075430209
1303,1,114945658737807
6333,1,1020594523437101
2877,1,1053754941922233
6470,1,1034233590022407
2,1,1059166860757519
3959,1,138944770845936
662,1,472143664462966
1269,1,105408131992763
8951,1,1044399460995356
10607,1,1029658742979415
12400,1,970127807931572
130,1,106769830607688620
777,1,105439530383155
12622,1,2243966436207916
6318,1,1020621377323621
10932,1,102923940921298
165,1,532547772384008861
1031,1,1002550777379191
5250,1,104941080935671
142,1,110282270076669
12470,1,949673409137591
277,1,633170128662179
218,1,109535580062310
54,1,1063350042144213
138,1,108164617686454
12931,1,85757025900358
12732,1,727167667509083410
10347,1,113606935121280
10386,1,113568761288750
3755,1,1052705574664372
10355,1,113587848205015
272,1,527659332195566
12810,1,122342347758588
12820,1,44332719378348
194,1,1060643996656421
13088,1,27327100199839
149,1,533273860161840
10359,1,113588302655403
4664,1,1032676706687555
260,1,1055516970014666
57,1,1070212242991880
264,1,1029567852901962
10378,1,113569215739138
10370,1,113587848205015
160,1,322741358003768
8193,1,1109923588975878
32,1,143400565437466
12463,1,175982641801836
10331,1,113609889048798
7807,1,203567367171969
559,1,1052056950020733
9689,1,1041156337777162
254,1,1032441218759610
4529,1,1032914260299079
212,1,113951860934819
60,1,531933231519414
10381,1,113568988513944
12999,1,17509852923025
4591,1,118167303327699
12875,1,41117052920730
293,1,1053657854794045
12741,1,770982766296305301
9993,1,1038807655548445
2092,1,1055844489646464
85,1,141503473723395
24,1,534835516947161
2056,1,3217592557185591
13233,1,1317196044331892
137,1,117709930286405
9910,1,102998679590991
7133,1,518725250718696
75,1,640008161011979
108,1,106883856341220
12733,1,767945617376426507
12854,1,208101267202227
189,1,1060639865289264
245,1,527687218923875
12742,1,280317314783834757
4996,1,105833181677793
7072,1,1034180419327097
9980,1,1038627941077119
90,1,1062238704378997
12720,1,293195951019983093
12744,1,563399745054915307
10385,1,113568761288750
5204,1,115467227781540
12762,1,63217177068022260640
172,1,1063903645343242
10389,1,113566943487201
235,1,1057142662990919
12863,1,12658207723324341
12403,1,970045180588434
10325,1,113615796903832
12418,1,890392456230803
9647,1,58668598223981
12783,1,289450401373853
153,1,533263531743947
174,1,1060705967163775
4480,1,106183895501429
12759,1,3203039489054636
7747,1,100285236115673
84,1,1066370071535931
40,1,1070387826096050
220,1,108188706299165
171,1,10640709657130980
12844,1,34594433239333
12588,1,233742334465791
11932,1,1014891171076954
450,1,63835100063224
9986,1,1039772329779590
1948,1,105374048213718
8878,1,1045625822391411
205,1,114859346822812
4641,1,1032734545827752
13159,1,45437554481624
7505,1,1047487657945164
10346,1,113606707896087
10334,1,113609661823604
6687,1,1036179509742642
1404,1,126869165076277
